City Name,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
kavaratti,10.5669,72.642,81.79,77,100,17.07,IN,1628810790
jaru,-10.4389,-62.4664,83.52,31,56,3.42,BR,1628810790
port keats,-14.25,129.55,76.23,48,4,10.0,AU,1628810791
kieta,-6.2167,155.6333,81.23,79,59,6.64,PG,1628810792
asmara,15.3333,38.9333,61.65,72,10,2.93,ER,1628810792
shu,43.5983,73.7614,67.28,46,0,4.12,KZ,1628810793
lazaro cardenas,17.9583,-102.2,83.46,73,47,6.06,MX,1628810793
jasper,37.2001,-94.3502,95.83,44,20,4.0,US,1628810682
mmathubudukwane,-24.6,26.4333,57.13,34,4,5.53,BW,1628810793
kolpashevo,58.3131,82.9089,46.96,85,100,9.08,RU,1628810794
piacabucu,-10.4056,-36.4344,72.57,83,29,7.92,BR,1628810794
mana,5.6592,-53.7767,79.2,84,94,8.39,GF,1628810795
arlit,18.7369,7.3853,86.31,39,99,4.7,NE,1628810795
vaitape,-16.5167,-151.75,78.98,65,0,14.07,PF,1628810796
victoria,22.2855,114.1577,84.96,84,98,6.26,HK,1628810797
aklavik,68.2191,-135.0107,54.32,93,90,8.05,CA,1628810797
dhaulpur,26.7,77.9,81.5,79,100,7.36,IN,1628810797
lompoc,34.6391,-120.4579,89.22,61,1,14.97,US,1628810798
leningradskiy,69.3833,178.4167,50.13,54,100,3.96,RU,1628810798
verkhnyaya inta,65.9811,60.3094,58.84,94,100,14.5,RU,1628810799
ha tinh,18.3333,105.9,82.54,72,87,5.82,VN,1628810799
bud,39.447,-86.1758,89.55,72,33,10.6,US,1628810799
laguna,38.421,-121.4238,103.64,27,1,6.91,US,1628810800
alpena,45.0617,-83.4327,82.72,47,1,8.05,US,1628810800
broome,42.2506,-75.833,84.02,73,1,5.75,US,1628810801
zambezi,-13.5432,23.1047,57.06,25,0,3.42,ZM,1628810801
paita,-5.0892,-81.1144,66.25,80,26,16.02,PE,1628810801
eyl,7.9803,49.8164,75.38,84,44,18.66,SO,1628810802
gillette,44.2911,-105.5022,82.24,29,1,11.01,US,1628810626
bambous virieux,-20.3428,57.7575,71.85,88,75,9.22,MU,1628810802
russell,32.3502,-85.1999,90.55,65,1,6.91,US,1628810803
doha,25.2867,51.5333,93.18,66,0,2.3,QA,1628810803
maldonado,-34.6667,-54.9167,46.22,92,3,4.52,UY,1628810606
khatanga,71.9667,102.5,44.37,87,100,5.7,RU,1628810804
constitucion,-35.3333,-72.4167,48.11,85,1,0.4,CL,1628810804
fez,34.0372,-4.9998,82.65,50,75,3.44,MA,1628810508
port elizabeth,-33.918,25.5701,48.49,87,75,6.91,ZA,1628810514
tongchuan,35.0806,109.0897,65.93,93,100,2.86,CN,1628810805
praia da vitoria,38.7333,-27.0667,75.45,78,40,22.75,PT,1628810806
oksfjord,70.2396,22.3479,50.92,90,100,3.96,NO,1628810531
voyinka,45.8699,33.9914,72.77,48,90,15.28,UA,1628810806
emerald,-23.5333,148.1667,68.14,68,44,8.05,AU,1628810807
chuy,-33.6971,-53.4616,43.99,88,3,4.72,UY,1628810810
zyryanka,65.75,150.85,68.05,55,100,1.61,RU,1628810810
sawtell,-30.3833,153.1,63.19,92,90,4.61,AU,1628810811
homer,59.6425,-151.5483,66.07,68,1,9.22,US,1628810811
shelburne,44.0787,-80.2041,81.09,58,30,9.82,CA,1628810811
jibuti,11.5,42.5,83.62,56,61,7.7,DJ,1628810812
nizhniy kuranakh,58.8353,125.4869,67.62,65,83,1.34,RU,1628810813
jilin,43.0,126.0,62.33,99,100,3.69,CN,1628810813
athmallik,20.7219,84.5348,78.69,90,100,1.63,IN,1628810814
los llanos de aridane,28.6585,-17.9182,71.35,93,20,10.36,ES,1628810814
norman wells,65.282,-126.8329,68.04,60,75,10.36,CA,1628810815
chumikan,54.7183,135.315,67.62,68,17,13.78,RU,1628810815
nsanje,-16.92,35.262,67.01,66,1,2.21,MW,1628810816
boca do acre,-8.7522,-67.3978,83.35,38,33,2.91,BR,1628810816
kahului,20.8947,-156.47,86.02,68,20,27.63,US,1628810630
sambava,-14.2667,50.1667,67.53,92,13,7.29,MG,1628810817
shache,38.4167,77.2406,74.07,35,0,9.17,CN,1628810817
ericeira,38.9627,-9.4156,69.48,90,0,15.26,PT,1628810817
chalons-en-champagne,48.9539,4.3672,72.63,86,55,4.0,FR,1628810818
porto belo,-27.1578,-48.5531,58.98,83,100,4.99,BR,1628810819
nabire,-3.3667,135.4833,78.12,85,100,2.08,ID,1628810819
gornopravdinsk,60.05,69.9,51.44,80,76,3.31,RU,1628810820
buala,-8.145,159.5921,76.75,92,99,11.56,SB,1628810820
vao,-22.6667,167.4833,67.93,65,20,17.05,NC,1628810820
polson,47.6936,-114.1632,91.11,33,9,3.78,US,1628810821
bubaque,11.2833,-15.8333,79.93,79,95,10.85,GW,1628810821
point fortin,10.1833,-61.6833,76.93,78,100,8.68,TT,1628810822
deputatskiy,69.3,139.9,55.0,83,99,3.87,RU,1628810822
ayorou,14.7308,0.9174,85.1,55,100,6.98,NE,1628810823
doume,4.2333,13.45,68.25,94,97,3.89,CM,1628810823
ribita,46.1833,22.7667,61.29,61,72,4.0,RO,1628810824
baker city,44.7749,-117.8344,98.15,24,1,16.11,US,1628810824
ampanihy,-24.7,44.75,60.39,90,0,4.41,MG,1628810824
benghazi,32.1167,20.0667,80.53,81,0,19.66,LY,1628810825
boueni,-12.9025,45.0761,71.58,72,0,7.67,YT,1628810826
ishim,56.1128,69.4902,47.71,84,27,7.52,RU,1628810826
mitsamiouli,-11.3847,43.2844,76.17,72,20,4.88,KM,1628810827
altamira,-3.2033,-52.2064,80.29,64,64,3.11,BR,1628810827
cocorit,27.5833,-109.9667,96.96,42,51,13.44,MX,1628810828
puerto del rosario,28.5004,-13.8627,73.15,73,1,14.97,ES,1628810828
hervey bay,-25.2986,152.8535,73.04,72,0,3.94,AU,1628810828
sola,-13.8833,167.55,75.87,88,90,13.8,VU,1628810829
kuraymah,18.55,31.85,97.07,19,71,7.96,SD,1628810829
aykhal,66.0,111.5,63.72,52,100,4.03,RU,1628810829
tiksi,71.6872,128.8694,50.63,63,64,17.54,RU,1628810833
cherskiy,68.75,161.3,62.76,51,96,6.62,RU,1628810833
hailey,43.5196,-114.3153,91.9,28,1,8.05,US,1628810833
margate,51.3813,1.3862,62.91,81,36,1.99,GB,1628810655
umm kaddadah,13.6017,26.6876,86.94,47,93,10.27,SD,1628810834
buchanan,5.8808,-10.0467,76.96,86,100,12.86,LR,1628810834
krasnoselkup,65.7,82.4667,47.62,73,62,2.86,RU,1628810835
adrar,20.5022,-10.0711,93.63,13,49,12.19,MR,1628810835
ola,59.5833,151.2833,57.49,82,78,7.23,RU,1628810836
havoysund,70.9963,24.6622,50.88,91,100,4.23,NO,1628810836
teruel,40.6667,-0.6667,76.14,28,1,6.35,ES,1628810836
cordoba,-31.4135,-64.1811,47.44,34,0,4.0,AR,1628810796
kollam,8.8833,76.6,78.67,89,100,10.69,IN,1628810837
faya,18.3851,42.4509,68.11,42,97,0.27,SA,1628810837
san quintin,30.4833,-115.95,79.9,57,0,10.78,MX,1628810838
acapulco,16.8634,-99.8901,85.82,74,75,8.05,MX,1628810838
haines junction,60.7522,-137.5108,64.35,52,92,6.91,CA,1628810838
mount gambier,-37.8333,140.7667,49.91,93,40,8.05,AU,1628810839
conakry,9.538,-13.6773,80.67,83,75,2.3,GN,1628810839
touros,-5.1989,-35.4608,76.1,77,14,15.84,BR,1628810840
saint-joseph,-21.3667,55.6167,68.36,81,20,8.05,RE,1628810840
yulara,-25.2406,130.9889,49.84,37,0,12.66,AU,1628810840
carupano,10.6678,-63.2585,79.11,89,63,10.49,VE,1628810841
fethiye,36.6217,29.1164,75.07,34,1,6.85,TR,1628810841
fergus falls,46.283,-96.0776,77.16,35,40,8.01,US,1628810841
necochea,-38.5473,-58.7368,43.41,62,0,7.05,AR,1628810842
boulsa,12.6675,-0.5758,75.99,81,92,4.99,BF,1628810842
nanakuli,21.3906,-158.1547,91.35,47,40,11.5,US,1628810843
zhigalovo,54.8097,105.1578,63.25,78,19,1.36,RU,1628810843
urumqi,43.801,87.6005,77.95,36,84,6.71,CN,1628810844
edmundston,47.3737,-68.3251,85.33,66,20,4.61,CA,1628810702
salalah,17.0151,54.0924,77.09,88,90,4.61,OM,1628810844
saint-augustin,51.226,-58.6502,62.38,94,100,6.53,CA,1628810844
nanortalik,60.1432,-45.2371,44.87,83,40,10.13,GL,1628810845
puerto escondido,15.85,-97.0667,86.83,62,75,4.61,MX,1628810723
takoradi,4.8845,-1.7554,75.99,85,51,9.06,GH,1628810845
srivardhan,18.0333,73.0167,78.87,82,69,2.57,IN,1628810846
stornoway,58.2093,-6.3865,57.16,82,75,19.57,GB,1628810846
quatre cocos,-20.2078,57.7625,71.71,85,33,11.81,MU,1628810846
grindavik,63.8424,-22.4338,55.56,93,0,14.97,IS,1628810847
jacareacanga,-6.2222,-57.7528,89.37,30,68,2.26,BR,1628810847
ajaccio,42.0,8.9167,71.65,53,0,6.91,FR,1628810848
cuiluan,47.72,128.648,62.49,86,53,5.17,CN,1628810849
rodrigues alves,-7.738,-72.6509,83.14,47,58,1.12,BR,1628810849
kutum,14.2,24.6667,75.67,65,80,4.99,SD,1628810852
nyurba,63.2842,118.3319,67.3,57,11,3.47,RU,1628810853
iracoubo,5.4802,-53.2011,78.51,87,93,9.44,GF,1628810853
